Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,18,13,20,24,17,32,37
First Downs,16,16,20,23,17,18,21
Rush Att,41,36,31,30,26,35,36
Rush Yds,137,141,114,122,92,183,149
Rush TDs,0,0,1,2,0,3,2
Pass Comp,17,13,25,22,16,14,16
Pass Att,23,20,32,34,28,24,29
Pass Yds,156,117,245,312,150,145,264
Pass TD,0,1,1,1,2,0,2
Pass INT,0,0,1,0,0,0,0
Sacks Taken,2,2,2,4,3,3,1
Sacked Yards,23,7,13,30,16,35,4
Net Pass Yards,133,110,232,282,134,110,260
Total Yards,270,251,346,404,226,293,409
Fumbles,1,1,0,3,2,1,0
Fumbles Lost,0,0,0,2,1,0,0
Turnovers,0,0,1,2,1,0,0
Penalties,9,10,3,6,8,7,4
Penalty Yds,60,78,15,53,50,50,36
3D Conv,8,4,7,6,3,4,5
3D Conv Yards,17,13,14,13,12,13,14
4D Conv,0,0,0,0,2,1,2
4D Conv Yards,1,0,0,2,2,1,2
Time of Possession,35:36,32:19,33:51,31:07,27:31,31:51,32:09
