Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,33,19,25,20,20,9,bye
First Downs,15,20,26,14,25,16,bye
Rush Att,25,21,16,23,31,17,bye
Rush Yds,102,68,51,80,109,53,bye
Rush TDs,1,0,1,0,0,0,bye
Pass Comp,19,28,28,22,29,25,bye
Pass Att,32,42,51,27,42,44,bye
Pass Yds,179,299,379,221,352,224,bye
Pass TD,1,1,2,2,2,0,bye
Pass INT,0,2,0,0,2,3,bye
Sacks Taken,3,3,3,1,2,4,bye
Sacked Yards,16,14,18,8,16,26,bye
Net Pass Yards,163,285,361,213,336,198,bye
Total Yards,265,353,412,293,445,251,bye
Fumbles,1,1,2,1,2,2,bye
Fumbles Lost,0,0,1,0,1,2,bye
Turnovers,0,2,1,0,3,5,bye
Penalties,11,4,6,11,11,4,bye
Penalty Yds,85,26,44,89,87,30,bye
3D Conv,4,6,7,3,9,3,bye
3D Conv Yards,14,13,13,10,15,13,bye
4D Conv,0,1,0,1,1,1,bye
4D Conv Yards,0,3,1,1,1,4,bye
Time of Possession,29:06,29:29,25:15,24:23,32:29,25:17,bye
