Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,47,44,12,24,13,27
First Downs,22,24,12,25,14,19
Rush Att,37,39,29,33,15,21
Rush Yds,180,190,89,131,46,81
Rush TDs,2,4,0,3,0,1
Pass Comp,19,11,14,28,20,22
Pass Att,24,16,25,36,35,40
Pass Yds,200,243,142,239,182,243
Pass TD,3,2,1,0,2,1
Pass INT,0,1,1,1,1,2
Sacks Taken,1,1,1,1,1,5
Sacked Yards,1,1,12,4,8,21
Net Pass Yards,199,242,130,235,174,222
Total Yards,379,432,219,366,220,303
Fumbles,1,0,0,1,0,3
Fumbles Lost,1,0,0,1,0,1
Turnovers,1,1,1,2,1,3
Penalties,10,5,3,6,5,7
Penalty Yds,95,40,25,60,70,70
3D Conv,7,5,6,7,4,4
3D Conv Yards,13,8,13,13,10,13
4D Conv,0,0,0,1,0,1
4D Conv Yards,0,0,1,2,2,1
Time of Possession,36:39,30:31,27:45,35:42,20:04,25:58
