Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,29,19,7,24,23,41
First Downs,26,15,17,26,18,20
Rush Att,40,22,14,26,28,28
Rush Yds,213,75,38,101,94,192
Rush TDs,1,0,0,1,1,2
Pass Comp,24,23,28,27,28,20
Pass Att,32,36,44,40,38,32
Pass Yds,234,260,307,345,331,192
Pass TD,2,1,1,2,1,3
Pass INT,0,0,2,0,1,1
Sacks Taken,4,3,5,2,1,2
Sacked Yards,30,25,49,11,0,16
Net Pass Yards,204,235,258,334,331,176
Total Yards,417,310,296,435,425,368
Fumbles,0,1,0,1,1,1
Fumbles Lost,0,1,0,1,1,0
Turnovers,0,1,2,1,2,1
Penalties,5,12,11,12,7,4
Penalty Yds,30,115,88,93,65,38
3D Conv,7,4,4,7,8,4
3D Conv Yards,14,14,14,13,16,11
4D Conv,2,1,2,0,0,0
4D Conv Yards,2,1,4,0,1,0
Time of Possession,40:00,28:47,30:42,33:17,33:10,30:47
