Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,27,13,34,20,20,21,24
First Downs,14,15,19,17,16,17,18
Rush Att,22,22,28,24,28,26,20
Rush Yds,104,71,118,158,150,82,82
Rush TDs,2,1,0,0,1,0,0
Pass Comp,9,23,17,18,9,20,24
Pass Att,19,37,28,33,30,33,33
Pass Yds,212,174,181,169,131,243,220
Pass TD,2,0,4,2,1,3,3
Pass INT,1,2,0,0,0,2,2
Sacks Taken,2,7,4,1,1,4,3
Sacked Yards,13,40,25,14,5,34,25
Net Pass Yards,199,134,156,155,126,209,195
Total Yards,303,205,274,313,276,291,277
Fumbles,0,0,1,1,0,3,1
Fumbles Lost,0,0,0,0,0,2,1
Turnovers,1,2,0,0,0,4,3
Penalties,4,9,5,6,4,9,8
Penalty Yds,20,60,30,44,25,50,55
3D Conv,5,6,6,4,3,3,4
3D Conv Yards,10,17,13,12,14,13,10
4D Conv,1,1,1,0,1,2,0
4D Conv Yards,2,2,1,1,1,2,0
Time of Possession,20:00,31:13,29:18,26:43,26:50,29:13,28:43
