Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,10,6,10,27,20,13
First Downs,15,13,10,22,25,16
Rush Att,22,19,20,32,31,19
Rush Yds,89,64,61,133,109,57
Rush TDs,0,0,0,1,0,1
Pass Comp,16,20,14,19,29,27
Pass Att,26,35,20,30,42,40
Pass Yds,155,246,149,239,352,227
Pass TD,1,0,1,2,2,1
Pass INT,2,2,0,0,2,1
Sacks Taken,2,2,5,2,2,1
Sacked Yards,18,15,44,14,16,9
Net Pass Yards,137,231,105,225,336,218
Total Yards,226,295,166,358,445,275
Fumbles,1,0,2,1,2,3
Fumbles Lost,1,0,0,0,1,2
Turnovers,3,2,0,0,3,3
Penalties,5,9,7,4,11,4
Penalty Yds,34,124,69,38,87,42
3D Conv,2,2,3,8,9,2
3D Conv Yards,9,12,11,15,15,11
4D Conv,1,1,0,0,1,1
4D Conv Yards,1,2,0,0,1,3
Time of Possession,24:24,27:41,26:09,28:53,32:29,28:09
