Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,34,31,47,10,20,23
First Downs,23,13,25,12,16,24
Rush Att,33,26,29,23,28,33
Rush Yds,130,108,122,81,150,149
Rush TDs,2,2,2,1,1,1
Pass Comp,18,13,24,17,9,19
Pass Att,23,19,31,31,30,25
Pass Yds,232,139,266,182,131,215
Pass TD,2,1,4,0,1,2
Pass INT,0,0,0,0,0,0
Sacks Taken,2,0,0,3,1,2
Sacked Yards,10,0,0,27,5,5
Net Pass Yards,222,139,266,155,126,210
Total Yards,352,247,388,236,276,359
Fumbles,1,1,0,2,0,1
Fumbles Lost,1,0,0,1,0,0
Turnovers,1,0,0,1,0,0
Penalties,9,1,6,4,4,11
Penalty Yds,65,5,47,38,25,94
3D Conv,3,3,6,3,3,5
3D Conv Yards,9,9,11,13,14,11
4D Conv,2,1,2,1,1,0
4D Conv Yards,2,1,2,1,1,0
Time of Possession,30:30,23:41,31:40,28:57,26:50,29:34
