Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,18,21,22,24,30,20
First Downs,16,22,22,25,21,21
Rush Att,41,37,33,33,26,24
Rush Yds,137,186,128,131,160,114
Rush TDs,0,1,0,3,0,0
Pass Comp,17,23,26,28,19,26
Pass Att,23,30,39,36,24,38
Pass Yds,156,183,217,239,180,221
Pass TD,0,1,2,0,3,2
Pass INT,0,1,1,1,0,2
Sacks Taken,2,1,0,1,1,0
Sacked Yards,23,4,0,4,7,0
Net Pass Yards,133,179,217,235,173,221
Total Yards,270,365,345,366,333,335
Fumbles,1,0,0,1,2,2
Fumbles Lost,0,0,0,1,1,0
Turnovers,0,1,1,2,1,2
Penalties,9,9,6,6,5,10
Penalty Yds,60,53,61,60,47,74
3D Conv,8,6,6,7,6,5
3D Conv Yards,17,13,14,13,11,11
4D Conv,0,2,1,1,0,0
4D Conv Yards,1,3,1,2,0,1
Time of Possession,35:36,35:39,34:57,35:42,27:38,29:20
